0;0;30/31;486-509/0-56;1
0;1;31;219-299;0
0;2;30;405-485;0
0;3;39;381-461;0
1;0;30;405-485;0
1;1;31;138-218;0
1;2;28/29;486-509/0-56;1
1;3;39;300-380;0
2;0;28/29;486-509/0-56;1
2;1;31;57-137;0
2;2;28;405-485;0
2;3;39;219-299;0
3;0;28;405-485;0
3;1;30/31;486-509/0-56;0
3;2;30;405-485;0
3;3;39;138-218;0
4;0;31;57-137;1
4;1;39;381-461;0
4;2;30;324-404;0
4;3;38;324-404;1
5;0;30;324-404;0
5;1;39;300-380;0
5;2;29;57-137;1
5;3;38;405-485;1
6;0;29;57-137;1
6;1;39;219-299;0
6;2;28;324-404;0
6;3;38/39;486-509/0-56;1
7;0;28;324-404;0
7;1;39;138-218;0
7;2;30;324-404;0
7;3;39;57-137;1
8;0;31;138-218;1
8;1;38;324-404;1
8;2;30;243-323;0
8;3;38;243-323;0
9;0;30;243-323;0
9;1;38;405-485;1
9;2;29;138-218;1
9;3;38;162-242;0
10;0;29;138-218;1
10;1;38/39;486-509/0-56;1
10;2;28;243-323;0
10;3;38;81-161;0
11;0;28;243-323;0
11;1;39;57-137;1
11;2;30;243-323;0
11;3;38;0-80;0
12;0;31;219-299;1
12;1;38;243-323;0
12;2;30;162-242;0
12;3;37;381-461;0
13;0;30;162-242;0
13;1;38;162-242;0
13;2;29;219-299;1
13;3;37;300-380;0
14;0;29;219-299;1
14;1;38;81-161;0
14;2;28;162-242;0
14;3;37;219-299;0
15;0;28;162-242;0
15;1;38;0-80;0
15;2;30;162-242;0
15;3;37;138-218;0
16;0;31;300-380;1
16;1;37;381-461;0
16;2;30;81-161;0
16;3;36;324-404;1
17;0;30;81-161;0
17;1;37;300-380;0
17;2;29;300-380;1
17;3;36;405-485;1
18;0;29;300-380;1
18;1;37;219-299;0
18;2;28;81-161;0
18;3;36/37;486-509/0-56;1
19;0;28;81-161;0
19;1;37;138-218;0
19;2;30;81-161;0
19;3;37;57-137;1
20;0;31;381-461;1
20;1;36;324-404;1
20;2;30;0-80;0
20;3;36;243-323;0
21;0;30;0-80;0
21;1;36;405-485;1
21;2;29;381-461;1
21;3;36;162-242;0
22;0;29;381-461;1
22;1;36/37;486-509/0-56;1
22;2;28;0-80;0
22;3;36;81-161;0
23;0;28;0-80;0
23;1;37;57-137;1
23;2;30;0-80;0
23;3;36;0-80;0
