0;0;30;405-485;0
0;1;-;
0;2;26;405-485;0
0;3;35;138-218;1
1;0;26;405-485;0
1;1;-;
1;2;24/25;486-509/0-56;1
1;3;35;219-299;1
2;0;24/25;486-509/0-56;1
2;1;-;
2;2;24;405-485;0
2;3;35;300-380;1
3;0;24;405-485;0
3;1;-;
3;2;-;
3;3;35;381-461;1
4;0;30;324-404;0
4;1;35;138-218;1
4;2;26;324-404;0
4;3;35;57-137;0
5;0;26;324-404;0
5;1;35;219-299;1
5;2;-;
5;3;34/35;486-509/0-56;0
6;0;-;
6;1;35;300-380;1
6;2;24;324-404;0
6;3;34;405-485;0
7;0;24;324-404;0
7;1;35;381-461;1
7;2;-;
7;3;34;324-404;0
8;0;30;243-323;0
8;1;35;57-137;0
8;2;26;243-323;0
8;3;34;0-80;1
9;0;26;243-323;0
9;1;34/35;486-509/0-56;0
9;2;-;
9;3;34;81-161;1
10;0;-;
10;1;34;405-485;0
10;2;24;243-323;0
10;3;34;162-242;1
11;0;24;243-323;0
11;1;34;324-404;0
11;2;-;
11;3;34;243-323;1
12;0;30;162-242;0
12;1;34;0-80;1
12;2;26;162-242;0
12;3;33;138-218;1
13;0;26;162-242;0
13;1;34;81-161;1
13;2;-;
13;3;33;219-299;1
14;0;-;
14;1;34;162-242;1
14;2;24;162-242;0
14;3;33;300-380;1
15;0;24;162-242;0
15;1;34;243-323;1
15;2;-;
15;3;33;381-461;1
16;0;30;81-161;0
16;1;33;138-218;1
16;2;26;81-161;0
16;3;33;57-137;0
17;0;26;81-161;0
17;1;33;219-299;1
17;2;-;
17;3;32/33;486-509/0-56;0
18;0;-;
18;1;33;300-380;1
18;2;24;81-161;0
18;3;32;405-485;0
19;0;24;81-161;0
19;1;33;381-461;1
19;2;-;
19;3;32;324-404;0
20;0;30;0-80;0
20;1;33;57-137;0
20;2;26;0-80;0
20;3;32;0-80;1
21;0;26;0-80;0
21;1;32/33;486-509/0-56;0
21;2;-;
21;3;32;81-161;1
22;0;-;0
22;1;32;405-485;0
22;2;24;0-80;0
22;3;32;162-242;1
23;0;24;0-80;0
23;1;32;324-404;0
23;2;-;
23;3;32;243-323;0
