0;0;1;18;0-80;1
0;0;3;18;81-161;1
0;0;5;18;162-242;1
0;0;7;18;243-323;1
0;0;9;18;324-404;1
0;0;11;18;405-485;1
0;1;0;4;0-80;1
0;1;2;5;57-137;0
0;1;4;5;138-218;1
0;1;6;6;0-80;1
0;1;8;7;57-137;0
0;1;10;7;138-218;1
0;1;12;17;219-299;0
0;2;1;2;0-80;1
0;2;3;2;81-161;1
0;2;5;2;162-242;1
0;2;7;2;243-323;1
0;2;9;2;321-404;1
0;2;11;2;405-485;1
0;3;0;4;81-161;1
0;3;2;4/5;486-509/0-56;0
0;3;4;5;219-299;1
0;3;6;6;81-161;1
0;3;8;6/7;486-509/0-56;0
0;3;10;7;219-299;1
0;3;12;17;138-218;0
0;4;1;-;
0;4;3;-;
0;4;5;-;
0;4;7;-;
0;4;9;-;
0;4;11;-;
0;5;0;4;162-242;1
0;5;2;4;324-404;0
0;5;4;5;200-381;1
0;5;6;6;162-242;1
0;5;8;6;405-485;0
0;5;10;7;200-230;1
0;5;12;17;57-137;0
0;6;1;-;
0;6;3;-;
0;6;5;-;
0;6;7;-;
0;6;9;-;
0;6;11;-;
0;7;0;4;243-323;1
0;7;2;4;324-404;0
0;7;4;5;381-461;1
0;7;6;6;243-323;1
0;7;8;6;324-404;0
0;7;10;7;381-461;1
0;7;12;16/17;486-509/0-56;0
0;8;1;16;0-80;1
0;8;3;16;81-161;1
0;8;5;16;162-242;1
0;8;7;16;243-323;1
0;8;9;16;324-404;1
0;8;11;16;405-485;1
1;0;0;12;0-80;1
1;0;2;-;
1;0;4;-;
1;0;6;14;0-80;1
1;0;8;15;57-137;0
1;0;10;15;138-218;1
1;0;12;18/19;486-509/0-56;1
2;0;1;8;0-80;1
2;0;3;8;81-161;1
2;0;5;8;162-242;1
2;0;7;8;243-323;1
2;0;9;8;324-404;1
2;0;11;8;405-485;1
3;0;0;-;
3;0;2;-;
3;0;4;-;
3;0;6;14;81-161;1
3;0;8;14/15;486-509/0-56;0
